type,amount,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
CASH_OUT,75405.1,0,104209,46462.23,0
CASH_OUT,50101.88,0,67684,9940339.29,0
CASH_OUT,14121.82,0,52679,10963.66,0
CASH_OUT,176149.9,0,259813,46820.71,0
CASH_OUT,212228.35,0,429747,1178808.14,0
CASH_OUT,85423.63,0,5776776.41,19169204.93,0
CASH_OUT,11648.5,0,260976,971418.91,0
PAYMENT,6165.58,14759.42,0,0,0
PAYMENT,3705.83,38197.63,0,0,0
CASH_OUT,419801.4,0,499962,1517262.16,0
CASH_OUT,335416.51,0,295,52415.15,0
PAYMENT,661.43,13416.57,0,0,0
DEBIT,864.68,68971.32,12040,43691.09,0
TRANSFER,330757.04,0,79676,1254956.07,0
PAYMENT,1915.43,9534.57,0,0,0
PAYMENT,8.73,81304.27,0,0,0
DEBIT,3058.8,15079.2,11054,8917.54,0
PAYMENT,5154.97,4321.03,0,0,0
PAYMENT,5213.25,31166.75,0,0,0
PAYMENT,5392.75,45364.25,0,0,0
PAYMENT,17150.89,44486.99,0,0,0
TRANSFER,679502.24,0,171866,3940085.21,0
TRANSFER,177652.91,0,55,4894.45,0
PAYMENT,5443.26,231553.74,0,0,0
PAYMENT,244.87,257733.62,0,0,0
PAYMENT,8281.57,249452.05,0,0,0
PAYMENT,1175.59,19333.41,0,0,0
TRANSFER,184986.8,0,52340,97263.78,0
PAYMENT,1718.29,116092.71,0,0,0
PAYMENT,3671.32,96422.68,0,0,0
DEBIT,3580.26,0,21185,18910.85,0
PAYMENT,8550.9,31509.1,0,0,0
CASH_OUT,467177.03,0,975121,22190.99,0
DEBIT,3875.99,255262.01,608925.82,2415.16,0
PAYMENT,2148.89,29064.11,0,0,0
PAYMENT,466.97,79563.03,0,0,0
CASH_OUT,154139.72,0,410433.04,1254956.07,0
CASH_OUT,82685.93,0,833216.44,3420103.09,0
CASH_OUT,83857.23,0,215457.59,16997.22,0
CASH_OUT,99109.77,0,299314.82,16997.22,0
CASH_OUT,187726.67,0,190573,1567434.81,0
CASH_OUT,281339.92,0,612801.81,2415.16,0
CASH_OUT,81029.86,0,105343,8496.61,0
CASH_OUT,139054.95,0,182538.03,277515.05,0
CASH_OUT,154716.2,0,187433,3461666.05,0
CASH_OUT,53631.83,0,83244,0,0
CASH_OUT,289645.52,0,871442.79,1412484.09,0
CASH_OUT,267148.82,0,641975.35,1178808.14,0
CASH_OUT,193605.38,0,249452.05,0,0
CASH_OUT,344464.4,0,1133312.56,0,0
CASH_OUT,169409.87,0,909124.16,1178808.14,0
CASH_OUT,25793.74,0,215312.31,49864.36,0
CASH_OUT,114712.48,0,145400,0,0
CASH_OUT,89038.75,0,189808,1186556.81,0
CASH_OUT,44443.08,0,6048647.54,19169204.93,0
CASH_OUT,105979.34,0,435962.9,46820.71,0
CASH_OUT,19162.08,0,60169,215851.28,0
CASH_OUT,9536.54,0,49161,130747.56,0
CASH_OUT,190445.51,0,203679,2107965.39,0
CASH_OUT,57279.11,0,127206.9,64106.18,0
CASH_OUT,112086.81,0,292728,55974.56,0
CASH_OUT,80311.89,0,87408,63112.23,0
CASH_OUT,26004.52,0,52251.58,0,0
CASH_OUT,3146.16,0,9471,593737.38,0
CASH_OUT,296752.75,0,404814.81,55974.56,0
CASH_OUT,365510.05,0,564572.76,1254956.07,0
CASH_OUT,202332.08,0,342149.2,3461666.05,0
CASH_OUT,55105.9,0,317952.89,2719172.89,0
CASH_OUT,171508.59,0,443057.43,0,0
CASH_OUT,88834.86,0,464326.57,971418.91,0
CASH_OUT,210370.09,0,1442298.03,22190.99,0
CASH_OUT,36437.06,0,154606,1363368.51,0
CASH_OUT,82691.56,0,657983.89,6453430.91,0
CASH_OUT,338767.1,0,544481.28,3461666.05,0
CASH_OUT,323105.08,0,378299.67,1567434.81,0
CASH_OUT,89962.11,0,157012.19,0,0
CASH_OUT,101940.14,0,105362,92307.65,0
CASH_OUT,163100.34,0,1078534.03,1178808.14,0
CASH_OUT,136030.66,0,136875.83,0,0
CASH_OUT,106117.28,0,234216.94,51513.44,0
CASH_OUT,503333.79,0,553161.42,971418.91,0
CASH_OUT,71991.42,0,81682.58,557537.26,0
CASH_OUT,91379.93,0,1241634.38,1178808.14,0
CASH_OUT,26759.05,0,581853.1,2107965.39,0
CASH_OUT,128487.35,0,701404.75,1567434.81,0
CASH_OUT,252908.87,0,919763.4,1517262.16,0
CASH_OUT,64489.64,0,398424.59,16997.22,0
CASH_OUT,171369.73,0,1122370.94,3940085.21,0
PAYMENT,4493.29,3764.71,0,0,0
PAYMENT,12121.5,84936.5,0,0,0
PAYMENT,2278.19,0,0,0,0
PAYMENT,7707.44,92119.56,0,0,0
PAYMENT,4013.02,88106.55,0,0,0
PAYMENT,5775.15,126553.85,0,0,0
PAYMENT,4843.93,46874.07,0,0,0
PAYMENT,2397.82,18023.18,0,0,0
DEBIT,4497.87,102890.13,19053,5417.23,0
PAYMENT,7452.89,94944.11,0,0,0
CASH_OUT,71532.24,0,74956,97128.19,0
CASH_OUT,61159.51,0,340334.22,51513.44,0
CASH_OUT,12401.9,0,349763,0,0
PAYMENT,6926.67,146000.33,0,0,0
PAYMENT,893.57,9782.43,0,0,0
TRANSFER,480222.51,0,1293740.67,3940085.21,0
PAYMENT,5946.79,1594.8,0,0,0
PAYMENT,6099.96,36033.04,0,0,0
PAYMENT,372.34,64881.66,0,0,0
PAYMENT,4635.18,6309146.87,0,0,0
PAYMENT,1267.97,6307878.9,0,0,0
PAYMENT,6911.99,6300966.92,0,0,0
PAYMENT,1795.67,6299171.25,0,0,0
PAYMENT,3199.06,6295972.18,0,0,0
PAYMENT,10265.17,6285707.02,0,0,0
PAYMENT,9029.12,16450.88,0,0,0
PAYMENT,7600.57,43146.43,0,0,0
PAYMENT,2057.71,23074.29,0,0,0
PAYMENT,3823.08,6558.92,0,0,0
PAYMENT,9161.98,1966.02,0,0,0
PAYMENT,1239.06,395146.94,0,0,0
PAYMENT,5237.54,21867.46,0,0,0
PAYMENT,2618.76,19248.7,0,0,0
PAYMENT,6598.71,9793.29,0,0,0
PAYMENT,4304.58,6403.42,0,0,0
PAYMENT,2867.14,0,0,0,0
PAYMENT,2946.38,0,0,0,0
PAYMENT,507.12,86497.88,0,0,0
PAYMENT,3020.86,47340.14,0,0,0
PAYMENT,8948.03,2188.97,0,0,0
CASH_OUT,280877.92,0,462914.23,16997.22,0
PAYMENT,1084.9,12642.1,0,0,0
PAYMENT,9456.69,3185.41,0,0,0
PAYMENT,5812.36,0,0,0,0
TRANSFER,157883.07,0,72793,353532.56,0
PAYMENT,2734.77,1776.23,0,0,0
CASH_OUT,102153.86,0,230676.07,353532.56,0
PAYMENT,584.52,14894.48,0,0,0
CASH_OUT,215338.28,0,285755.61,31469.78,0
CASH_OUT,65521.42,0,93337.06,0,0
CASH_OUT,116977.58,0,191043.06,1363368.51,0
CASH_OUT,262392.36,0,457286.01,1186556.81,0
CASH_OUT,51121.05,0,308020.64,1363368.51,0
CASH_OUT,202624.59,0,1056495.21,971418.91,0
CASH_OUT,118056.71,0,272906.49,0,0
CASH_OUT,498960.91,0,608612.15,2107965.39,0
CASH_OUT,691738.36,0,6285707.02,19169204.93,0
CASH_OUT,58820.08,0,1107573.06,2107965.39,0
PAYMENT,4419.04,48531.96,0,0,0
PAYMENT,4270.02,5245.98,0,0,0
PAYMENT,3007.83,46897.17,0,0,0
PAYMENT,1824.59,23313.41,0,0,0
CASH_OUT,302693.14,0,306239.03,97263.78,0
PAYMENT,1445.06,9446.94,0,0,0
PAYMENT,3417.18,0,0,0,0
DEBIT,3428.95,144369.05,1534657.01,5515763.34,0
PAYMENT,5580.98,2200.02,0,0,0
DEBIT,3455.85,53.15,1333014.31,1178808.14,0
PAYMENT,3852.64,1445223.63,0,0,0
DEBIT,12872.92,0,51885,0,0
PAYMENT,6675.34,3431.66,0,0,0
CASH_OUT,410201.89,0,61613,424250.45,0
PAYMENT,13310.78,0,0,0,0
PAYMENT,664.35,102318.65,0,0,0
PAYMENT,7771.4,1056.3,0,0,0
PAYMENT,36349.35,0,0,0,0
PAYMENT,749.34,0,0,0,0
PAYMENT,2340.34,0,0,0,0
PAYMENT,9686.85,0,0,0,0
PAYMENT,15785.85,0,0,0,0
PAYMENT,9006.78,0,0,0,0
PAYMENT,9014.95,0,0,0,0
PAYMENT,14420.66,0,0,0,0
PAYMENT,28527.44,0,0,0,0
PAYMENT,4182.93,0,0,0,0
PAYMENT,8491.9,0,0,0,0
DEBIT,6666.78,5209.22,24777,189534.74,0
PAYMENT,6536.86,10782.14,0,0,0
DEBIT,7344.92,0,185432,0,0
CASH_OUT,106267.21,0,241106.05,49864.36,0
PAYMENT,5491.5,31113.5,0,0,0
PAYMENT,3666.42,44450.58,0,0,0
PAYMENT,5507.18,30522.82,0,0,0
DEBIT,4565.14,25699.86,829892.09,1567434.81,0
PAYMENT,11348.71,723550.29,0,0,0
TRANSFER,123179.97,0,12904.68,43691.09,0
PAYMENT,7073.6,0,0,0,0
PAYMENT,2803.83,0,0,0,0
PAYMENT,106.81,0,0,0,0
PAYMENT,5320.1,50767.43,0,0,0
PAYMENT,1460.63,0,0,0,0
TRANSFER,522264.81,0,11361,2025098.66,0
DEBIT,3584.21,131911.79,100614.05,24044.18,0
PAYMENT,3704.97,20848.03,0,0,0
PAYMENT,2773.61,11558.39,0,0,0
PAYMENT,18781.84,0,0,0,0
PAYMENT,6660.33,11049.67,0,0,0
TRANSFER,26923.42,0,199404.91,95508.95,0
TRANSFER,80333.28,0,321592.98,277515.05,0
TRANSFER,100677.86,0,701567.56,55974.56,0
TRANSFER,473499.51,0,883248.39,3461666.05,0
TRANSFER,1538200.39,0,6977445.38,19169204.93,0
TRANSFER,2421578.09,0,8515645.77,19169204.93,0
TRANSFER,1349670.68,0,1538085.96,5515763.34,0
TRANSFER,314403.14,0,888232.25,4619798.56,0
TRANSFER,180368.84,0,1437353.34,16518.36,0
TRANSFER,1123206.66,0,1773963.18,3940085.21,0
DEBIT,996,45136,88106.55,1015132.48,0
TRANSFER,161217.61,0,199733,5602234.95,0
TRANSFER,75442.68,0,80469,500631.71,0
TRANSFER,55536.86,0,915902.37,3420103.09,0
TRANSFER,438437.09,0,740675.45,6453430.91,0
TRANSFER,928722.69,0,1259119.8,971418.91,0
TRANSFER,1478772.04,0,1652668.12,22190.99,0
TRANSFER,2545478.01,0,12394437.4,19169204.93,0
TRANSFER,2061082.82,0,14939915.42,19169204.93,0
TRANSFER,983479.66,0,3131440.16,22190.99,0
TRANSFER,635507.97,0,834457.23,1567434.81,0
TRANSFER,848231.57,0,4114919.82,22190.99,0
TRANSFER,982862.81,0,2187842.49,971418.91,0
TRANSFER,955855,0,1179112.54,6453430.91,0
TRANSFER,179253.24,0,179614.1,46462.23,0
PAYMENT,5446.88,0,0,0,0
PAYMENT,648.64,224.36,0,0,0
PAYMENT,8494.71,2634.29,0,0,0
CASH_IN,143236.26,143236.26,608932.17,97263.78,0
CASH_IN,228451.89,371688.15,719678.38,1186556.81,0
CASH_IN,35902.49,407590.65,49003.3,0,0
CASH_IN,65912.95,706457.23,104198.26,24044.18,0
CASH_IN,193492.68,899949.91,1247284.13,55974.56,0
CASH_IN,60836.64,960786.56,143436,5203.54,0
CASH_IN,62325.15,1023111.71,1880271.66,1254956.07,0
CASH_IN,349640.51,1372752.22,360950.61,5602234.95,0
CASH_IN,135324.19,1508076.41,1356747.89,3461666.05,0
CASH_IN,380015.14,1888091.55,1336470.16,1178808.14,0
CASH_IN,311023.52,2617803.34,1477776.96,0,0
CASH_IN,151862.38,2769665.72,158858.48,0,0
CASH_IN,220431.09,3218806.87,2897169.84,3940085.21,0
CASH_IN,182861.45,3401668.32,192776.92,0,0
CASH_IN,231881.5,3633549.82,894141.72,2415.16,0
CASH_IN,38071.17,3671620.98,122487,54985.05,0
CASH_IN,114271.72,3873009.99,3170705.3,971418.91,0
CASH_IN,73199.1,3946209.08,401926.25,277515.05,0
CASH_IN,24936.34,4849053.05,104408,42450.71,0
CASH_IN,63255.29,4968145.5,237735.3,0,0
CASH_IN,104605.78,5072751.28,207302.14,92307.65,0
CASH_IN,154160.82,5226912.1,157376,0,0
CASH_IN,257348.03,5484260.13,2291660.6,971418.91,0
CASH_IN,201073.81,5685333.94,537766.76,1178808.14,0
CASH_IN,53560.68,5738894.62,172857.68,22233.65,0
CASH_IN,334234.39,6073129.01,358867.35,46462.23,0
CASH_IN,227335.16,6300464.17,1817946.5,1254956.07,0
CASH_IN,134426.08,6434890.26,228864.16,52415.15,0
CASH_IN,2643.45,6437533.71,49974,1891.79,0
CASH_IN,134977.11,6572510.82,471814.89,424250.45,0
CASH_IN,25090.03,6597600.85,80148.6,0,0
CASH_IN,147388.67,6744989.53,184486.01,64106.18,0
CASH_IN,217615.09,6962604.61,971439.24,3420103.09,0
CASH_IN,355294.5,7317899.11,1469965.2,1567434.81,0
CASH_IN,12336.48,7330235.59,21024,83845.22,0
CASH_IN,349505.89,7679741.48,17000998.23,19169204.93,0
CASH_IN,285185.34,7964926.82,451065.09,353532.56,0
CASH_IN,132953.45,8097880.27,1617722.17,16518.36,0
CASH_IN,214851.41,8312731.68,939718.63,1517262.16,0
CASH_IN,62871.06,8430591.3,177707.91,4894.45,0
CASH_IN,61150.85,8491742.16,1166393.13,2107965.39,0
CASH_IN,131409.27,8623151.43,290276.03,265092.36,0
CASH_IN,10844.33,8633995.76,42274,290772.6,0
PAYMENT,2054.84,20140.16,0,0,0
CASH_IN,13289.87,346803.59,78256.1,0,0
CASH_IN,27070.11,373873.7,70595,122750.49,0
CASH_IN,127954.7,501828.4,1590611.34,1254956.07,0
CASH_IN,144366.64,843226.08,1720939.01,971418.91,0
CASH_IN,7965.49,851191.57,35100.09,40348.79,0
CASH_IN,123103.74,974295.31,541942.24,46820.71,0
CASH_IN,106634.77,1080930.07,4963151.39,22190.99,0
CASH_IN,74933.22,1155863.3,1312918.22,1412484.09,0
CASH_IN,120234.99,1276098.29,194026.33,965870.05,0
CASH_IN,5763.99,1281862.28,24632.95,46462.23,0
CASH_IN,156922.36,1438784.65,2887756.64,5515763.34,0
CASH_IN,162665.98,1601450.63,362164.9,0,0
CASH_IN,110226.34,1601450.63,1601450.63,10681238.79,0
CASH_IN,6915.38,1750943.45,49685,0,0
CASH_IN,223555.14,2131606.6,1462656.64,1254956.07,0
CASH_IN,146331.12,2277937.72,1053791.45,55974.56,0
CASH_IN,222711.47,2641780.43,16651492.34,19169204.93,0
CASH_IN,84980.31,2726760.74,165879.75,353532.56,0
CASH_IN,628719.07,3355479.81,1484768.73,16518.36,0
CASH_IN,79285.8,3434765.61,4856516.62,22190.99,0
CASH_IN,57809.81,3492575.42,59666,0,0
CASH_IN,75043.17,3567618.59,156547,0,0
CASH_IN,18851.44,3834666.95,47330.55,1891.79,0
CASH_IN,403418.39,4238085.34,1801028.99,2107778.11,0
CASH_IN,235564.81,4473650.15,2676738.75,3940085.21,0
CASH_IN,345347.7,4851323.08,355417.92,0,0
CASH_IN,103005.78,5309829.12,114836.85,4894.45,0
CASH_IN,108803.98,5418633.09,811253.19,0,0
CASH_IN,259753.27,5678386.36,260112.48,0,0
CASH_IN,234094.24,5912480.6,1278333.12,971418.91,0
CASH_IN,273305.73,6185786.33,1237985,1412484.09,0
CASH_IN,186838.95,6372625.28,418838.5,46820.71,0
CASH_IN,152823.85,6718610.17,1202635.39,4619798.56,0
CASH_IN,91457.82,6810067.99,662260.23,2415.16,0
CASH_IN,277807.48,7087875.47,907460.33,55974.56,0
CASH_IN,8679.13,7096554.61,94438.08,52415.15,0
CASH_IN,221693.08,7320347.28,629652.85,55974.56,0
CASH_IN,206097.65,7526444.93,1239101.5,1254956.07,0
CASH_IN,22384.21,7548829.13,42211,387263.02,0
CASH_IN,73210.99,7622040.12,79582.64,96.88,0
CASH_IN,236747.6,7858787.73,390963.21,0,0
CASH_IN,6284.18,7865071.9,328727.16,277515.05,0
CASH_IN,100198.77,7965270.68,336837.78,424250.45,0
CASH_IN,160347.32,8125617.99,724867.22,1517262.16,0
CASH_IN,289272.75,8414890.75,413976.6,31469.78,0
CASH_IN,63189.26,8478080,101925,0,0
PAYMENT,5882.32,4369.68,0,0,0
PAYMENT,5937.72,15841.28,0,0,0
PAYMENT,9796.29,264861.71,0,0,0
PAYMENT,13449.95,0,0,0,0
PAYMENT,4749.6,3288.4,0,0,0
PAYMENT,6460.86,24548.14,0,0,0
PAYMENT,3605.26,6514.74,0,0,0
PAYMENT,624.61,51969.39,0,0,0
PAYMENT,3854.92,5386.08,0,0,0
PAYMENT,151.2,1752.8,0,0,0
PAYMENT,58.21,14447.79,0,0,0
PAYMENT,5936.82,0,0,0,0
CASH_OUT,145944.67,0,222,46393.85,0
TRANSFER,7206.33,17725.67,21308,18161.79,0
PAYMENT,2528.1,2508.9,0,0,0
PAYMENT,1456.09,99561.91,0,0,0
PAYMENT,4252.82,1292.18,0,0,0
PAYMENT,12666.68,0,0,0,0
CASH_OUT,95636.49,0,359141.7,1363368.51,0
CASH_OUT,195314.34,0,491226.48,1186556.81,0
PAYMENT,14306.8,0,0,0,0
PAYMENT,1117.34,34493.66,0,0,0
PAYMENT,2880.68,118643.46,0,0,0
PAYMENT,3060.54,115582.92,0,0,0
PAYMENT,3486.78,111216.72,0,0,0
PAYMENT,21530.96,89685.77,0,0,0
PAYMENT,5110.1,82149.35,0,0,0
PAYMENT,207.75,81941.6,0,0,0
PAYMENT,18437.04,63504.55,0,0,0
PAYMENT,8690.69,54813.86,0,0,0
PAYMENT,5432.09,44435.75,0,0,0
PAYMENT,7649.41,36786.34,0,0,0
PAYMENT,3101.33,29741.84,0,0,0
TRANSFER,51719.13,0,59670,15375.37,0
PAYMENT,13465.91,0,0,0,0
PAYMENT,19561.05,0,0,0,0
PAYMENT,9762.28,0,0,0,0
CASH_OUT,562903.81,0,564519.9,1517262.16,0
PAYMENT,5055.94,25239.06,0,0,0
PAYMENT,2858.89,18961.11,0,0,0
PAYMENT,8531.42,10429.69,0,0,0
PAYMENT,84.22,25743.78,0,0,0
CASH_OUT,227478.01,0,16428780.87,19169204.93,0
PAYMENT,5033.02,18913.68,0,0,0
TRANSFER,100588.8,0,105223,0,0
PAYMENT,9374.72,11689.28,0,0,0
PAYMENT,598.24,102032.76,0,0,0
PAYMENT,4531.55,15593.45,0,0,0
PAYMENT,2998.2,12595.25,0,0,0
PAYMENT,1209.64,2115.61,0,0,0
PAYMENT,1298.7,816.91,0,0,0
PAYMENT,7797,0,0,0,0
PAYMENT,7067.9,0,0,0,0
PAYMENT,14895.51,0,0,0,0
PAYMENT,3316.21,0,0,0,0
PAYMENT,22276,0,0,0,0
PAYMENT,16505.51,0,0,0,0
PAYMENT,636.95,0,0,0,0
PAYMENT,2056.59,0,0,0,0
PAYMENT,704.74,0,0,0,0
PAYMENT,3222.32,0,0,0,0
PAYMENT,6131.21,0,0,0,0
PAYMENT,11938.61,0,0,0,0
PAYMENT,4233.45,0,0,0,0
PAYMENT,32643.79,0,0,0,0
PAYMENT,622.15,13490.65,0,0,0
PAYMENT,4573.12,8917.54,0,0,0
PAYMENT,6057.8,938.3,0,0,0
PAYMENT,5770.32,0,0,0,0
PAYMENT,9152.97,0,0,0,0
PAYMENT,8378.01,72521.43,0,0,0
PAYMENT,9616.45,62904.98,0,0,0
PAYMENT,2231.28,10766.72,0,0,0
PAYMENT,4932.54,131622.46,0,0,0
CASH_IN,65413.89,197036.35,144605,0,0
CASH_IN,98560.08,295596.43,167719.89,63112.23,0
CASH_IN,15054.61,310651.04,33340,185389.8,0
CASH_IN,161632.16,472283.2,1044238.89,971418.91,0
CASH_IN,47529.19,519812.39,856049.65,16518.36,0
CASH_IN,9577.45,529389.85,32204,22774.25,0
CASH_IN,414238.59,943628.44,808520.46,16518.36,0
CASH_IN,89327.65,1032956.09,2063442.28,3940085.21,0
CASH_IN,194900.16,1227856.25,8633995.76,12494367.15,0
CASH_IN,24470.43,1252326.68,1381702.9,2107965.39,0
CASH_IN,217668.38,1469995.06,347373.26,49864.36,0
CASH_IN,9067.51,1479062.57,306723.02,23508.22,0
CASH_IN,230021.01,2091229.45,4777230.82,22190.99,0
CASH_IN,154578.28,2245807.73,1033003.86,1254956.07,0
CASH_IN,314134.01,2559941.74,570802.41,2415.16,0
CASH_IN,206405.92,2766347.65,1221423.7,3461666.05,0
CASH_IN,21255.8,3134837.27,52109,0,0
CASH_IN,205955.77,3340793.04,465695.91,97263.78,0
CASH_IN,178370.36,3519163.4,16656258.88,19169204.93,0
CASH_IN,42547.96,3561711.36,59693,9672.67,0
CASH_IN,15152.15,3576863.51,8439095.6,12494367.15,0
CASH_IN,101669.17,3717782.35,533625.81,2025098.66,0
CASH_IN,81694.11,3799476.47,686540.82,1186556.81,0
CASH_IN,10266.7,3809743.17,104323,69756.86,0
CASH_IN,35502.25,3845245.42,41159,0,0
CASH_IN,183250,4028495.42,231999.55,46820.71,0
CASH_IN,143148.97,4645760.1,4547209.8,22190.99,0
CASH_IN,132457.52,4778217.62,8423943.45,12494367.15,0
CASH_IN,148834.28,4927051.9,514210.68,0,0
CASH_IN,106727.81,5033779.71,2730834.27,5515763.34,0
CASH_IN,223123.71,5256903.42,394281.87,16518.36,0
CASH_IN,338964.91,5790179.68,365376.39,0,0
CASH_IN,247575.4,6037755.07,8291485.93,12494367.15,0
CASH_IN,29467.02,6067222.09,322442.98,277515.05,0
CASH_IN,90340.16,6157562.25,16477888.52,19169204.93,0
CASH_IN,198847.32,6356409.58,964679.26,1412484.09,0
CASH_IN,155075.41,6511484.99,1035098.36,0,0
CASH_IN,76932.89,6588417.88,765831.94,1412484.09,0
CASH_IN,92971.79,6681389.66,111367.94,0,0
CASH_IN,7322.98,6688712.64,64966,57643.02,0
CASH_IN,222126.95,6910839.59,1397610.6,2107778.11,0
CASH_IN,62983.91,6973823.5,454778.18,1363368.51,0
CASH_IN,1271.77,6975095.27,697456.73,2719172.89,0
CASH_IN,246816.65,7221911.92,933112.37,1517262.16,0
CASH_IN,21898.97,7243810.89,1114670.7,1567434.81,0
CASH_IN,30811.56,7274622.45,152178,651524.92,0
CASH_IN,100275.09,7374897.54,878425.58,1254956.07,0
CASH_IN,46630.53,7421528.07,604846.71,1186556.81,0
CASH_IN,158775.58,7580303.64,688899.05,1412484.09,0
CASH_IN,90556.08,7670859.72,186372.86,8496.61,0
CASH_IN,66216.71,7911025.32,117785.88,9940339.29,0
CASH_IN,216133.99,8127159.31,1092771.73,1567434.81,0
CASH_IN,371883.82,8499043.13,880022.94,0,0
CASH_IN,770537.37,8499043.13,8499043.13,16874643.09,0
CASH_IN,71275.47,8570318.6,136084.66,43691.09,0
CASH_IN,336298.77,8906617.38,1049811.54,4619798.56,0
CASH_IN,317393.38,9224010.75,1175483.65,2107778.11,0
CASH_IN,181002.01,9405012.76,292975.96,277515.05,0
CASH_IN,311449.38,9716462.14,713512.77,4619798.56,0
CASH_IN,270824.42,9987286.56,8515810.04,10681238.79,0
PAYMENT,1449.03,79533.97,0,0,0
PAYMENT,3551.48,1011466.31,0,0,0
PAYMENT,4940.2,43064.8,0,0,0
PAYMENT,2755.96,18231.04,0,0,0
DEBIT,8807.01,130620.99,64809.18,43691.09,0
PAYMENT,10040.52,51513.44,0,0,0
DEBIT,5363,15897,24765.26,18910.85,0
PAYMENT,11990.19,0,0,0,0
PAYMENT,1928.55,3167.45,0,0,0
PAYMENT,10648.06,26770.94,0,0,0
PAYMENT,8348.1,8234.9,0,0,0
PAYMENT,6969.67,54121.33,0,0,0
PAYMENT,154.87,9184.13,0,0,0
DEBIT,4040.84,0,51339,36757.68,0
PAYMENT,6490.17,542013.83,0,0,0
PAYMENT,1101.09,29756.91,0,0,0
DEBIT,4347.78,16418.22,407959.76,55974.56,0
CASH_OUT,213922.13,0,431956.63,2025098.66,0
CASH_OUT,83859.59,0,16387548.36,19169204.93,0
CASH_OUT,51749.94,0,62470,132842.64,0
CASH_OUT,86410.3,0,757892.11,1412484.09,0
